t (s),T0 (C),T1 (C)
0,-15,0
30,-15,0
60,-16,0
90,-14,0
120,-12,0
150,-13,0
180,-14,0
210,-12,0
240,-11,0
270,-12,0
300,-10,0
330,-9,0
360,-10,0
390,-11,0
420,-9,0
450,-8,0
480,-9,0
510,-10,0
540,-8,0
570,-6,0
600,-7,0
630,-8,0
660,-6,0
690,-5,0
720,-6,0
750,-4,0
780,-3,0
810,-5,0
840,-3,0
870,-2,0
900,-3,0
930,-4,0
960,-2,0
990,-1,0
1020,-2,0
1050,0,0
1080,0,0
1110,-1,0
1140,1,0
1170,1,0
1200,0,0
1230,2,0
1260,3,0
1290,1,0
1320,3,0
1350,4,0
1380,2,0
1410,5,0
1440,5,0
1470,3,0
1500,6,0
1530,7,0
1560,5,0
1590,7,0
1620,8,0
1650,6,0
1680,8,0
1710,9,0
1740,7,0
1770,10,0
1800,10,0
1830,8,0
1860,11,0
1890,11,0
1920,9,0
1950,12,0
1980,12,0
2010,10,0
2040,13,0
2070,13,0
2100,15,0
2130,15,0
2160,13,0
2190,15,0
2220,16,0
2250,13,0
2280,16,0
2310,17,0
2340,14,0
2370,18,0
2400,18,0
2430,15,0
2460,19,0
2490,19,0
2520,16,0
2550,20,0
2580,20,0
2610,22,0
2640,22,0
2670,19,0
2700,22,0
2730,22,0
2760,24,0
2790,23,0
2820,21,0
2850,24,0
2880,24,0
2910,26,0
2940,26,0
2970,23,0
3000,26,0
3030,26,0
3060,28,0
3090,27,0
3120,29,0
3150,28,0
3180,26,0
3210,29,0
3240,29,0
3270,31,0
3300,30,0
3330,32,0
3360,31,0
3390,29,0
3420,32,0
3450,32,0
3480,34,0
3510,33,0
3540,30,0
3570,34,0
3600,34,0
3630,36,0
3660,35,0
3690,36,0
3720,36,0
3750,33,0
3780,36,0
3810,41,0
3840,39,0
3870,36,0
3900,39,0
3930,38,0
3960,40,0
3990,40,0
4020,37,0
4050,40,0
4080,45,0
4110,43,0
4140,39,0
4170,42,0
4200,47,0
4230,45,0
4260,41,0
4290,44,0
4320,44,0
4350,46,0
4380,45,0
4410,47,0
4440,46,0
4470,43,0
4500,46,0
4530,51,0
4560,49,0
4590,45,0
4620,49,0
4650,48,0
4680,50,0
4710,50,0
4740,46,0
4770,50,0
4800,55,0
4830,53,0
4860,49,0
4890,52,0
4920,57,0
4950,55,0
4980,50,0
5010,53,0
5040,58,0
5070,56,0
5100,52,0
5130,55,0
5160,60,0
5190,58,0
5220,54,0
5250,57,0
5280,62,0
5310,59,0
5340,55,0
5370,58,0
5400,64,0
5430,61,0
5460,57,0
5490,60,0
5520,65,0
5550,62,0
5580,58,0
5610,61,0
5640,66,0
5670,64,0
5700,60,0
5730,63,0
5760,68,0
5790,65,0
5820,61,0
5850,64,0
5880,69,0
5910,67,0
5940,63,0
5970,66,0
6000,71,0
6030,68,0
6060,70,0
6090,68,0
6120,69,0
6150,74,0
6180,71,0
6210,67,0
6240,70,0
6270,75,0
6300,72,0
6330,68,0
6360,71,0
6390,76,0
6420,74,0
6450,69,0
6480,72,0
6510,77,0
6540,74,0
6570,76,0
6600,74,0
6630,76,0
6660,80,0
6690,77,0
6720,78,0
6750,76,0
6780,78,0
6810,82,0
6840,79,0
6870,80,0
6900,78,0
6930,80,0
6960,79,0
6990,80,0
7020,79,0
7050,81,0
7080,79,0
7110,81,0
7140,80,0
7170,76,0
7200,79,0
7230,79,0
7260,81,0
7290,77,0
7320,78,0
7350,80,0
7380,77,0
7410,78,0
7440,76,0
7470,77,0
7500,76,0
7530,73,0
7560,75,0
7590,79,0
7620,76,0
7650,73,0
7680,75,0
7710,74,0
7740,71,0
7770,74,0
7800,73,0
7830,71,0
7860,74,0
7890,73,0
7920,70,0
7950,73,0
7980,72,0
8010,69,0
8040,68,0
8070,71,0
8100,71,0
8130,68,0
8160,67,0
8190,66,0
8220,70,0
8250,69,0
8280,66,0
8310,65,0
8340,64,0
8370,68,0
8400,67,0
8430,65,0
8460,64,0
8490,63,0
8520,62,0
8550,62,0
8580,61,0
8610,61,0
8640,60,0
8670,64,0
8700,64,0
8730,61,0
8760,60,0
8790,59,0
8820,59,0
8850,58,0
8880,58,0
8910,58,0
8940,57,0
8970,57,0
9000,56,0
9030,56,0
9060,55,0
9090,55,0
9120,55,0
9150,54,0
9180,54,0
9210,54,0
9240,53,0
9270,53,0
9300,53,0
9330,52,0
9360,52,0
9390,52,0
9420,51,0
9450,51,0
9480,51,0
9510,51,0
9540,50,0
9570,50,0
9600,50,0
9630,49,0
9660,49,0
9690,49,0
9720,48,0
9750,48,0
9780,48,0
9810,48,0
9840,48,0
9870,47,0
9900,47,0
9930,47,0
9960,47,0
9990,46,0
10020,46,0
10050,46,0
10080,46,0
10110,45,0
10140,45,0
10170,45,0
10200,45,0
10230,45,0
10260,44,0
10290,44,0
10320,44,0
10350,44,0
10380,44,0
10410,43,0
10440,43,0
10470,43,0
10500,43,0
10530,43,0
10560,42,0
10590,42,0
10620,42,0
10650,42,0
10680,42,0
10710,41,0
10740,41,0
10770,41,0
10800,41,0
10830,42,0
10860,42,0
10890,42,0
10920,42,0
10950,42,0
10980,42,0
11010,42,0
11040,41,0
11070,41,0
11100,41,0
11130,41,0
11160,41,0
11190,41,0
11220,41,0
11250,41,0
11280,41,0
11310,41,0
11340,40,0
11370,40,0
11400,40,0
11430,40,0
11460,40,0
11490,40,0
11520,40,0
11550,40,0
11580,40,0
11610,40,0
11640,40,0
11670,39,0
11700,39,0
11730,39,0
11760,39,0
