t (s),T0 (C),T1 (C)
0,86,38
5,86,38
10,87,38
15,87,38
20,88,38
25,88,38
30,88,38
35,88,38
40,88,38
45,88,38
50,88,38
55,87,38
60,88,38
65,88,38
70,88,38
75,88,38
80,89,38
85,89,38
90,88,38
95,88,38
100,88,38
105,88,38
110,88,38
115,89,38
120,89,38
125,89,38
130,89,38
135,89,38
140,89,38
145,90,38
150,90,38
155,90,38
160,90,38
165,90,38
170,90,38
175,90,38
180,90,38
185,91,38
190,90,37
195,90,37
200,91,37
205,90,37
210,90,37
215,91,37
220,91,37
225,91,37
230,91,37
235,91,37
240,91,37
245,92,37
250,92,37
255,92,37
260,92,37
265,92,37
270,93,37
275,93,37
280,93,37
285,93,37
290,93,37
295,94,37
300,94,37
305,94,37
310,95,37
315,95,37
320,95,37
325,95,37
330,95,37
335,95,37
340,96,37
345,96,37
350,96,37
355,96,37
360,96,37
365,97,37
370,97,37
375,97,37
380,97,37
385,97,37
390,97,37
395,98,37
400,98,37
405,98,37
410,98,37
415,99,37
420,99,37
425,99,37
430,99,37
435,99,37
440,99,37
445,100,37
450,100,37
455,100,37
460,100,37
465,100,37
470,100,37
475,100,37
480,101,37
485,101,37
490,101,37
495,101,37
500,101,37
505,102,37
510,102,37
515,102,37
520,102,36
525,102,37
530,102,36
535,102,36
540,102,36
545,102,36
550,103,36
555,103,36
560,103,36
565,103,36
570,103,36
575,104,36
580,104,36
585,104,36
590,104,36
595,104,36
600,104,36
605,105,36
610,105,36
615,105,36
620,105,36
625,105,36
630,105,36
635,106,36
640,106,36
645,106,36
650,105,36
655,106,36
660,106,36
665,106,36
670,106,36
675,106,36
680,106,36
685,106,36
690,107,36
695,107,36
700,107,36
705,108,36
710,108,36
715,108,36
720,108,36
725,108,36
730,108,36
735,108,36
740,108,36
745,109,36
750,108,36
755,108,36
760,109,36
765,109,36
770,110,36
775,110,36
780,110,36
785,110,36
790,110,36
795,111,36
800,111,36
805,111,36
810,111,36
815,111,36
820,111,36
825,111,36
830,111,36
835,112,36
840,112,36
845,112,36
850,112,36
855,112,36
860,112,36
865,112,36
870,112,36
875,112,36
880,113,36
885,113,36
890,113,36
895,113,36
900,113,36
905,114,36
910,114,36
915,114,36
920,114,36
925,115,36
930,115,36
935,115,36
940,115,36
945,115,36
950,115,36
955,115,36
960,115,36
965,115,36
970,115,36
975,115,36
980,116,36
985,116,36
990,116,36
995,116,36
1000,117,36
1005,117,36
1010,117,36
1015,117,36
1020,117,36
1025,117,36
1030,117,36
1035,118,36
1040,118,36
1045,118,36
1050,118,36
1055,118,36
1060,118,36
1065,118,36
1070,118,36
1075,118,36
1080,119,36
1085,119,36
1090,119,36
1095,120,36
1100,120,36
1105,120,36
1110,120,36
1115,120,36
1120,120,36
1125,120,36
1130,120,36
1135,121,36
1140,121,36
1145,121,36
1150,121,36
1155,122,36
1160,122,36
1165,122,36
1170,122,36
1175,122,36
1180,122,36
1185,122,36
1190,122,36
1195,122,36
1200,122,36
1205,122,36
1210,122,36
1215,122,36
1220,123,36
1225,123,36
1230,123,36
1235,124,36
1240,124,36
1245,124,36
1250,124,36
1255,124,36
1260,124,36
1265,124,36
1270,125,36
1275,125,36
1280,125,36
1285,125,36
1290,125,36
1295,125,36
1300,125,36
1305,126,36
1310,126,36
1315,126,36
1320,126,36
1325,126,36
1330,127,36
1335,126,36
1340,127,36
1345,127,36
1350,127,36
1355,127,36
1360,127,36
1365,128,36
1370,128,36
1375,128,36
1380,128,36
1385,128,36
1390,129,36
1395,129,36
1400,129,36
1405,129,36
1410,129,36
1415,129,36
1420,129,36
1425,129,36
1430,130,36
1435,130,36
1440,130,36
1445,130,36
1450,130,36
1455,131,36
1460,130,36
1465,131,36
1470,131,36
1475,131,36
1480,131,36
1485,131,36
1490,131,36
1495,132,36
1500,132,36
1505,132,36
1510,132,36
1515,132,36
1520,132,36
1525,132,36
1530,132,36
1535,132,36
1540,133,36
1545,133,36
1550,133,36
1555,133,36
1560,133,36
1565,133,36
1570,134,36
1575,134,36
1580,134,36
1585,134,36
1590,134,36
1595,134,36
1600,134,36
1605,135,36
1610,135,36
1615,135,36
1620,136,36
1625,136,36
1630,136,36
1635,136,36
1640,136,36
1645,136,36
1650,136,36
1655,136,36
1660,136,36
1665,137,36
1670,137,36
1675,137,36
1680,137,36
1685,138,36
1690,138,36
1695,138,36
1700,138,36
1705,138,36
1710,138,36
1715,138,36
1720,138,36
1725,138,37
1730,139,36
1735,139,37
1740,139,37
1745,139,37
1750,140,37
1755,140,37
1760,139,37
1765,139,37
1770,140,37
1775,140,37
1780,140,37
1785,140,37
1790,140,37
1795,140,37
1800,140,37
1805,140,37
1810,141,37
1815,141,37
1820,141,37
1825,141,37
1830,141,37
1835,142,37
1840,142,37
1845,142,37
1850,142,37
1855,143,37
1860,142,37
1865,143,37
1870,143,37
1875,143,37
1880,143,37
1885,143,37
1890,143,37
1895,143,37
1900,143,37
1905,143,37
1910,144,37
1915,144,37
1920,144,37
1925,145,37
1930,144,37
1935,145,37
1940,145,37
1945,145,37
1950,145,37
1955,145,37
1960,145,37
1965,146,37
1970,146,37
1975,146,37
1980,146,37
1985,146,37
1990,146,37
1995,146,37
2000,147,37
2005,147,37
2010,147,37
2015,146,37
2020,147,37
2025,147,37
2030,147,37
2035,148,38
2040,148,38
2045,148,38
2050,148,38
2055,149,38
2060,149,38
2065,149,38
2070,149,38
2075,149,38
2080,149,38
2085,149,38
2090,150,38
2095,150,38
2100,150,38
2105,150,38
2110,150,38
2115,150,38
2120,150,38
2125,150,38
2130,150,38
2135,150,38
2140,150,38
2145,150,38
2150,150,38
2155,150,38
2160,149,38
2165,149,38
2170,149,38
2175,149,38
2180,149,38
2185,149,38
2190,149,38
2195,149,38
2200,150,38
2205,150,38
2210,150,38
2215,150,38
2220,150,38
2225,150,38
2230,150,38
2235,149,38
2240,149,38
2245,150,38
2250,149,38
2255,149,38
2260,150,38
2265,149,38
2270,150,38
2275,150,38
2280,150,38
2285,150,38
2290,150,38
2295,150,38
2300,150,38
2305,150,39
2310,149,38
2315,149,38
2320,149,39
2325,149,39
2330,149,39
2335,149,39
2340,149,39
2345,149,39
2350,149,39
2355,149,39
2360,149,39
2365,150,39
2370,150,39
2375,150,39
2380,150,39
2385,150,39
2390,150,39
2395,150,39
2400,149,39
2405,149,39
2410,149,39
2415,149,39
2420,149,39
2425,149,39
2430,150,39
2435,150,39
2440,150,39
2445,150,39
2450,150,39
2455,150,39
2460,150,39
2465,150,39
2470,149,39
2475,149,39
2480,149,39
2485,149,39
2490,149,39
2495,149,39
2500,149,39
2505,149,39
2510,149,39
2515,149,39
2520,149,39
2525,150,39
2530,149,39
2535,149,39
2540,149,39
2545,150,39
2550,150,39
2555,150,39
2560,150,39
2565,150,39
2570,149,39
2575,150,40
2580,150,40
2585,150,40
2590,150,40
2595,149,40
2600,149,40
2605,149,40
2610,149,40
2615,150,40
2620,149,40
2625,149,40
2630,149,40
2635,149,40
2640,149,40
2645,149,40
2650,149,40
2655,150,40
2660,150,40
2665,150,40
2670,150,40
2675,150,40
2680,150,40
2685,150,40
2690,149,40
2695,149,40
2700,150,40
2705,149,40
2710,149,40
2715,149,40
2720,149,40
2725,149,40
2730,149,40
2735,149,40
2740,150,40
2745,149,40
2750,150,40
2755,150,40
2760,150,40
2765,149,40
2770,150,40
2775,150,40
2780,149,40
2785,149,40
2790,149,40
2795,150,40
2800,150,40
2805,150,40
2810,150,40
2815,149,40
2820,149,40
2825,149,40
2830,149,40
2835,149,40
2840,149,40
2845,149,40
2850,149,40
2855,149,40
2860,149,40
2865,149,40
2870,150,40
2875,150,40
2880,150,40
2885,150,40
2890,150,41
2895,150,41
2900,149,40
2905,149,40
2910,149,40
2915,149,41
2920,149,40
2925,149,41
2930,149,41
