t (s),T0 (C),T1 (C)
0,28,0
30,29,0
60,30,0
90,32,0
120,33,0
150,33,0
180,34,0
210,34,0
240,34,0
270,35,0
300,37,0
330,38,0
360,38,0
390,40,0
420,42,0
450,42,0
480,42,0
510,42,0
540,43,0
570,45,0
600,45,0
630,47,0
660,48,0
690,57,0
720,57,0
750,62,0
780,63,0
810,64,0
840,64,0
870,64,0
900,64,0
930,64,0
960,64,0
990,64,0
1020,64,0
1050,64,0
1080,64,0
1110,64,0
1140,64,0
1170,63,0
1200,64,0
1230,65,0
1260,67,0
1290,68,0
1320,69,0
1350,69,0
1380,69,0
1410,70,0
1440,72,0
1470,74,0
1500,75,0
1530,75,0
1560,75,0
1590,77,0
1620,78,0
1650,78,0
1680,79,0
1710,79,0
1740,82,0
1770,82,0
1800,83,0
1830,84,0
1860,86,0
1890,87,0
1920,87,0
1950,87,0
1980,87,0
2010,89,0
2040,90,0
2070,91,0
2100,94,0
2130,94,0
2160,94,0
2190,94,0
2220,97,0
2250,96,0
2280,98,0
2310,98,0
2340,98,0
2370,100,0
2400,102,0
2430,103,0
2460,102,0
2490,104,0
2520,105,0
2550,106,0
2580,107,0
2610,109,0
2640,109,0
2670,109,0
2700,109,0
2730,109,0
2760,112,0
2790,113,0
2820,115,0
2850,115,0
2880,116,0
2910,116,0
2940,119,0
2970,119,0
3000,119,0
3030,119,0
3060,120,0
3090,121,0
3120,122,0
3150,124,0
3180,124,0
3210,126,0
3240,127,0
3270,128,0
3300,129,0
3330,131,0
3360,131,0
3390,132,0
3420,131,0
3450,131,0
3480,132,0
3510,132,0
3540,135,0
3570,135,0
3600,136,0
3630,138,0
3660,137,0
3690,139,0
3720,140,0
3750,140,0
3780,143,0
3810,143,30
3840,145,31
3870,145,41
3900,147,44
3930,147,44
3960,150,45
3990,150,46
4020,150,47
4050,151,47
4080,150,48
4110,150,48
4140,147,48
4170,149,49
4200,150,49
4230,149,49
4260,150,50
4290,149,50
4320,150,50
4350,149,51
4380,149,51
4410,149,51
4440,151,51
4470,150,52
4500,151,52
4530,150,52
4560,149,52
4590,148,52
4620,148,53
4650,151,53
4680,150,53
4710,149,53
4740,149,53
4770,150,53
4800,149,53
4830,149,53
4860,150,53
4890,150,53
4920,146,53
4950,146,53
4980,146,53
5010,147,53
