t (s),T0 (C),T1 (C)
0,43,30
5,43,30
10,43,30
15,43,30
20,44,30
25,44,30
30,44,30
35,44,30
40,44,30
45,45,30
50,45,30
55,45,30
60,45,30
65,46,30
70,46,30
75,46,30
80,46,30
85,47,30
90,47,30
95,47,30
100,47,30
105,47,30
110,47,30
115,47,30
120,47,30
125,47,30
130,47,30
135,48,30
140,48,30
145,48,30
150,48,30
155,48,30
160,48,30
165,48,30
170,48,30
175,49,30
180,49,30
185,49,30
190,49,29
195,49,29
200,50,30
205,50,29
210,50,29
215,51,30
220,51,29
225,51,29
230,51,29
235,51,29
240,51,30
245,51,29
250,51,29
255,51,29
260,51,29
265,51,29
270,51,29
275,51,30
280,51,29
285,52,29
290,52,29
295,52,29
300,52,29
305,53,29
310,53,29
315,53,29
320,54,29
325,54,29
330,54,29
335,54,29
340,54,29
345,54,29
350,54,29
355,55,29
360,55,29
365,55,29
370,55,29
375,55,29
380,55,29
385,55,29
390,55,29
395,55,29
400,55,29
405,56,29
410,56,29
415,56,29
420,56,29
425,56,29
430,57,29
435,57,29
440,57,29
445,57,29
450,57,29
455,57,29
460,58,29
465,58,29
470,58,29
475,58,29
480,58,29
485,58,29
490,59,29
495,59,29
500,59,29
505,59,29
510,59,29
515,59,29
520,59,29
525,59,29
530,60,29
535,60,29
540,60,29
545,60,29
550,60,29
555,60,29
560,61,29
565,61,29
570,61,29
575,61,29
580,61,29
585,61,29
590,62,29
595,62,29
600,62,29
605,62,29
610,62,29
615,62,29
620,62,29
625,63,29
630,63,29
635,63,29
640,63,29
645,63,29
650,63,29
655,63,29
660,64,29
665,64,29
670,64,29
675,64,29
680,64,29
685,64,29
690,64,29
695,64,29
700,65,29
705,65,29
710,65,29
715,65,29
720,65,29
725,66,29
730,66,29
735,66,29
740,66,29
745,66,29
750,67,29
755,67,29
760,67,29
765,67,29
770,67,29
775,67,29
780,67,29
785,68,29
790,68,29
795,68,29
800,68,29
805,68,29
810,68,29
815,68,29
820,68,29
825,69,29
830,69,29
835,69,29
840,69,29
845,69,29
850,69,29
855,69,29
860,70,29
865,70,29
870,70,29
875,70,29
880,70,29
885,71,29
890,71,29
895,71,29
900,71,29
905,71,29
910,71,29
915,71,29
920,72,29
925,72,29
930,72,29
935,72,29
940,72,29
945,73,29
950,73,29
955,73,29
960,73,29
965,73,29
970,73,29
975,73,29
980,73,29
985,73,29
990,73,29
995,73,29
1000,74,29
1005,74,29
1010,74,29
1015,75,29
1020,75,29
1025,75,29
1030,75,29
1035,75,29
1040,75,29
1045,76,29
1050,76,29
1055,76,29
1060,76,29
1065,76,29
1070,76,29
1075,76,29
1080,76,29
1085,76,29
1090,76,29
1095,77,29
1100,77,29
1105,77,29
1110,77,29
1115,77,29
1120,78,29
1125,78,29
1130,78,29
1135,78,29
1140,79,29
1145,79,29
1150,79,29
1155,79,29
1160,79,29
1165,79,29
1170,79,29
1175,79,29
1180,79,29
1185,79,29
1190,79,29
1195,80,29
1200,80,29
1205,80,29
1210,80,29
1215,81,29
1220,81,29
1225,81,29
1230,81,29
1235,81,29
1240,81,29
1245,82,29
1250,82,29
1255,82,29
1260,82,29
1265,82,29
1270,82,29
1275,82,29
1280,82,29
1285,83,29
1290,83,29
1295,83,29
1300,83,29
1305,83,29
1310,83,29
1315,83,29
1320,83,29
1325,84,29
1330,84,29
1335,85,29
1340,85,29
1345,85,29
1350,85,29
1355,85,29
1360,85,29
1365,85,29
1370,85,29
1375,85,29
1380,85,29
1385,86,29
1390,86,29
1395,86,29
1400,86,29
1405,86,29
1410,86,29
1415,87,29
1420,87,29
1425,87,29
1430,87,29
1435,87,29
1440,87,29
1445,88,29
1450,88,29
1455,88,29
1460,88,29
1465,88,29
1470,88,29
1475,88,29
1480,89,29
1485,89,29
1490,89,29
1495,89,29
1500,89,29
1505,89,29
1510,89,29
1515,90,29
1520,90,29
1525,90,29
1530,90,29
1535,90,29
1540,91,29
1545,91,29
1550,91,29
1555,91,29
1560,91,29
1565,91,29
1570,91,29
1575,91,29
1580,91,29
1585,92,29
1590,92,29
1595,92,29
1600,92,29
1605,92,29
1610,93,29
1615,93,29
1620,93,29
1625,93,29
1630,93,29
1635,93,29
1640,94,29
1645,94,29
1650,94,29
1655,94,29
1660,94,29
1665,94,29
1670,95,29
1675,95,29
1680,95,29
1685,95,29
1690,95,29
1695,95,29
1700,95,29
1705,95,29
1710,95,29
1715,95,29
1720,96,29
1725,96,29
1730,96,29
1735,96,29
1740,96,29
1745,97,29
1750,97,29
1755,97,29
1760,97,29
1765,97,30
1770,98,29
1775,98,30
1780,98,29
1785,98,30
1790,98,30
1795,98,30
1800,98,30
1805,99,30
1810,99,30
1815,99,30
1820,99,30
1825,99,30
1830,99,30
1835,99,29
1840,99,30
1845,100,30
1850,100,30
1855,100,30
1860,100,30
1865,100,30
1870,100,30
1875,100,30
1880,101,30
1885,101,30
1890,101,30
1895,101,30
1900,101,30
1905,101,30
1910,102,30
1915,102,30
1920,102,30
1925,102,30
1930,102,30
1935,102,30
1940,103,30
1945,103,30
1950,103,30
1955,103,30
1960,103,30
1965,103,30
1970,104,30
1975,104,30
1980,104,30
1985,104,30
1990,104,30
1995,104,30
2000,105,30
2005,105,30
2010,105,30
2015,105,30
2020,105,30
2025,105,30
2030,105,30
2035,106,30
2040,106,30
2045,106,30
2050,106,30
2055,106,30
2060,106,30
2065,106,30
2070,106,30
2075,106,30
2080,107,30
2085,107,30
2090,107,30
2095,107,30
2100,107,30
2105,107,30
2110,108,30
2115,108,30
2120,108,30
2125,108,30
2130,109,30
2135,109,30
2140,109,30
2145,109,30
2150,109,30
2155,109,30
2160,109,30
2165,109,30
2170,110,30
2175,109,30
2180,110,30
2185,110,30
2190,110,30
2195,110,30
2200,110,30
2205,111,30
2210,111,30
2215,111,30
2220,111,30
2225,111,30
2230,111,30
2235,112,30
2240,112,30
2245,112,30
2250,112,30
2255,112,30
2260,112,30
2265,113,30
2270,113,30
2275,113,30
2280,113,30
2285,113,30
2290,113,30
2295,113,30
2300,113,30
2305,114,30
2310,114,30
2315,114,30
2320,114,30
2325,114,30
2330,114,30
2335,114,30
2340,115,30
2345,115,30
2350,115,30
2355,115,30
2360,115,30
2365,115,30
2370,116,30
2375,116,30
2380,116,30
2385,116,30
2390,116,30
2395,117,30
2400,117,30
2405,117,30
2410,117,30
2415,118,30
2420,117,30
2425,117,30
2430,117,30
2435,118,30
2440,118,30
2445,118,30
2450,118,30
2455,118,30
2460,118,30
2465,118,30
2470,119,30
2475,119,30
2480,119,30
2485,119,30
2490,119,30
2495,119,30
2500,119,30
2505,120,31
2510,120,31
2515,120,31
2520,120,31
2525,120,31
2530,121,31
2535,121,31
2540,121,31
2545,121,31
2550,121,31
2555,121,31
2560,121,31
2565,121,31
2570,121,31
2575,121,31
2580,122,31
2585,122,31
2590,122,31
2595,122,31
2600,123,31
2605,123,31
2610,123,31
2615,123,31
2620,123,31
2625,123,31
2630,123,31
2635,124,31
2640,124,31
2645,124,31
2650,124,31
2655,125,31
2660,125,31
2665,125,31
2670,125,31
2675,125,31
2680,125,31
2685,125,31
2690,125,31
2695,125,31
2700,126,31
2705,126,31
2710,126,31
2715,126,31
2720,126,31
2725,126,31
2730,127,31
2735,127,31
2740,127,31
2745,127,31
2750,127,31
2755,127,31
2760,127,31
2765,128,31
2770,128,31
2775,128,31
2780,128,31
2785,128,31
2790,128,31
2795,129,31
2800,129,31
2805,129,31
2810,129,31
2815,129,31
2820,129,31
2825,130,31
2830,130,31
2835,130,31
2840,130,31
2845,130,31
2850,130,31
2855,130,31
2860,130,31
2865,130,31
2870,130,31
2875,131,31
2880,131,31
2885,131,31
2890,131,31
2895,131,31
2900,131,31
2905,131,31
2910,131,31
2915,132,31
2920,132,31
2925,133,32
2930,133,31
2935,133,31
2940,133,31
2945,133,31
2950,133,31
2955,133,31
2960,133,31
2965,133,31
2970,134,32
2975,134,32
2980,134,32
2985,134,32
2990,134,32
2995,134,31
3000,134,32
3005,135,32
3010,135,32
3015,135,32
3020,135,32
3025,135,32
3030,136,32
3035,136,32
3040,136,32
3045,136,32
3050,136,32
3055,136,32
3060,136,32
3065,136,32
3070,137,32
3075,138,32
3080,138,32
3085,137,32
3090,138,32
3095,138,32
3100,138,32
3105,138,32
3110,138,32
3115,138,32
3120,139,32
3125,139,32
3130,139,32
3135,139,32
3140,139,32
3145,139,32
3150,139,32
3155,139,32
3160,139,32
3165,139,32
3170,139,32
3175,139,32
3180,140,32
3185,140,32
3190,140,32
3195,140,32
3200,140,32
3205,140,32
3210,141,32
3215,141,32
3220,141,32
3225,141,32
3230,141,32
3235,141,32
3240,141,32
3245,141,32
3250,142,32
3255,142,32
3260,142,32
3265,142,32
3270,142,32
3275,142,32
3280,143,32
3285,143,32
3290,143,32
3295,143,32
3300,143,32
3305,143,32
3310,144,32
3315,144,32
3320,144,32
3325,144,32
3330,144,32
3335,144,32
3340,144,32
3345,144,32
3350,145,32
3355,145,32
3360,145,32
3365,146,32
3370,146,32
3375,146,32
3380,146,33
3385,146,33
3390,146,33
3395,146,32
3400,146,33
3405,147,33
3410,147,33
3415,147,33
3420,147,33
3425,147,33
3430,147,33
3435,147,33
3440,147,33
3445,147,33
3450,148,33
3455,148,33
3460,148,33
3465,148,33
3470,148,33
3475,148,33
3480,148,33
3485,149,33
3490,149,33
3495,149,33
3500,149,33
3505,149,33
3510,150,33
3515,149,33
3520,149,33
3525,150,33
3530,150,33
3535,150,33
3540,150,33
3545,150,33
3550,150,33
3555,150,33
3560,150,33
3565,150,33
3570,150,33
3575,150,33
3580,150,33
3585,150,33
3590,150,33
3595,150,33
3600,150,33
3605,150,33
3610,150,33
3615,150,33
3620,150,33
3625,149,33
3630,149,33
3635,149,33
3640,149,33
3645,149,33
3650,149,33
3655,150,33
3660,150,33
3665,150,33
3670,150,33
3675,150,33
3680,150,33
3685,149,33
