t (s),T0 (C),T1 (C)
0,143,41
5,143,41
10,143,41
15,143,41
20,143,41
25,143,41
30,144,41
35,144,41
40,143,41
45,144,41
50,144,41
55,144,41
60,144,41
65,144,41
70,144,41
75,144,41
80,144,41
85,145,41
90,145,41
95,145,41
100,145,41
105,145,41
110,145,41
115,145,41
120,145,41
125,145,41
130,145,41
135,145,41
140,145,41
145,145,41
150,145,41
155,145,41
160,145,41
165,145,41
170,146,41
175,146,41
180,146,41
185,146,41
190,146,41
195,146,41
200,147,41
205,147,41
210,147,41
215,147,41
220,147,41
225,148,41
230,148,41
235,148,41
240,147,41
245,147,41
250,147,41
255,148,41
260,148,41
265,148,41
270,148,41
275,148,41
280,148,41
285,148,41
290,148,41
295,148,41
300,149,41
305,149,41
310,149,41
315,149,41
320,149,41
325,150,41
330,150,41
335,150,41
340,150,41
345,150,41
350,150,41
355,150,41
360,150,41
365,150,41
370,150,41
375,149,41
380,149,41
385,149,41
390,149,41
395,149,41
400,149,41
405,149,41
410,149,41
415,149,41
420,150,41
425,150,41
430,150,41
435,150,41
440,150,41
445,149,41
450,150,41
455,149,41
460,149,41
465,149,41
470,149,41
475,149,41
480,150,41
485,149,41
490,150,41
495,150,41
500,150,41
505,150,41
510,149,41
515,149,41
520,150,41
525,150,41
530,150,41
535,150,41
540,149,41
545,149,41
550,149,41
555,149,41
560,149,41
565,149,41
570,149,41
575,149,41
580,149,41
585,149,41
590,150,41
595,150,41
600,150,41
605,150,41
610,150,41
615,150,41
620,149,41
625,150,41
630,149,41
635,149,41
640,149,41
645,149,41
650,150,41
655,149,41
660,149,41
665,149,41
670,149,41
675,149,41
680,149,41
685,150,41
690,150,41
695,150,41
700,150,41
705,150,41
710,150,41
715,150,41
720,150,41
725,150,41
730,150,41
735,149,41
740,149,41
745,149,41
750,149,41
755,149,41
760,149,41
765,149,41
770,149,41
775,149,41
780,149,41
785,149,41
790,150,41
795,150,41
800,150,41
805,150,41
810,150,41
815,150,41
820,150,41
825,149,41
830,149,41
835,149,41
840,149,41
845,149,41
850,149,41
855,149,41
860,149,41
865,149,41
870,150,41
875,150,41
880,150,41
885,150,41
890,150,41
895,149,41
900,149,41
905,149,41
910,149,41
915,149,41
920,149,41
925,149,41
930,149,41
935,150,41
940,150,41
945,150,41
950,150,41
955,150,41
960,150,41
965,149,41
970,149,41
975,149,41
980,149,41
985,149,41
990,149,41
995,149,41
1000,149,41
1005,149,41
1010,149,41
1015,149,41
1020,150,41
1025,150,41
1030,150,41
1035,149,41
1040,150,41
1045,149,41
1050,150,41
1055,150,41
1060,150,41
1065,149,41
1070,149,41
1075,149,41
1080,149,41
1085,149,41
1090,149,41
1095,150,41
1100,149,41
1105,149,41
1110,149,41
1115,149,41
1120,150,41
1125,150,41
1130,150,41
1135,150,41
1140,150,41
1145,150,41
1150,149,41
1155,150,41
1160,149,41
1165,149,41
1170,149,41
1175,149,41
1180,149,41
1185,149,41
1190,150,41
1195,149,41
1200,149,41
1205,149,41
1210,150,41
1215,150,41
1220,150,41
1225,150,41
1230,149,41
1235,150,41
1240,149,41
1245,149,41
1250,149,41
1255,149,41
1260,149,41
1265,149,41
1270,149,41
1275,149,41
1280,150,41
1285,150,41
1290,150,41
1295,150,41
1300,149,41
1305,150,41
1310,150,41
1315,150,41
1320,150,41
1325,149,41
1330,149,41
1335,149,41
1340,149,41
1345,149,41
1350,149,41
1355,149,41
1360,150,41
1365,150,41
1370,150,41
1375,150,41
1380,150,41
1385,150,41
1390,149,41
1395,149,41
1400,149,41
1405,149,41
1410,149,41
1415,149,41
1420,149,41
1425,149,41
1430,149,41
1435,149,41
1440,149,41
1445,149,41
1450,150,41
1455,150,41
1460,150,41
1465,150,41
1470,150,41
1475,150,41
1480,149,41
1485,149,41
1490,149,41
1495,149,41
1500,149,41
1505,149,41
1510,149,41
1515,149,41
1520,149,41
1525,150,41
1530,150,41
1535,150,41
1540,150,41
1545,149,41
1550,149,41
1555,150,41
1560,150,41
1565,150,41
1570,149,41
1575,149,41
1580,149,41
1585,149,41
1590,149,41
1595,149,41
1600,149,41
1605,149,41
1610,149,41
1615,149,41
1620,149,41
1625,150,41
1630,150,41
1635,150,41
1640,150,41
1645,150,41
1650,150,41
1655,150,41
1660,150,41
1665,150,41
1670,150,41
1675,149,41
1680,149,41
1685,149,41
1690,149,41
1695,149,41
1700,149,41
1705,149,41
1710,149,41
1715,149,41
1720,149,41
1725,149,41
1730,149,41
1735,149,41
1740,150,41
1745,150,41
1750,150,41
1755,150,41
1760,150,41
1765,150,41
1770,150,41
1775,149,41
1780,149,41
1785,149,41
1790,149,41
1795,149,41
1800,149,41
1805,149,41
1810,149,41
1815,149,41
1820,149,41
1825,149,41
1830,149,41
1835,149,41
1840,150,41
1845,150,41
1850,150,41
1855,150,41
1860,150,41
1865,150,41
1870,150,41
1875,149,41
1880,149,41
1885,149,41
1890,149,41
1895,149,41
1900,149,41
1905,150,41
1910,149,41
1915,149,41
1920,149,41
1925,149,41
1930,150,41
1935,149,41
1940,150,41
1945,150,41
1950,150,41
1955,150,41
1960,150,41
1965,150,41
1970,150,41
1975,149,41
1980,149,41
1985,149,41
1990,149,41
1995,149,41
2000,149,41
2005,149,41
2010,149,41
2015,149,41
2020,149,41
2025,149,41
2030,149,41
2035,149,41
2040,149,41
2045,149,41
2050,150,41
2055,150,41
2060,150,41
2065,150,41
2070,150,41
2075,150,41
2080,150,41
2085,150,41
2090,150,41
2095,149,41
2100,149,41
2105,149,41
2110,149,41
2115,149,41
2120,149,41
2125,149,41
2130,149,41
2135,149,41
2140,150,41
2145,150,41
2150,150,41
2155,149,41
2160,149,41
2165,149,41
2170,149,41
2175,149,41
2180,149,41
2185,149,41
2190,149,41
2195,149,41
2200,150,41
2205,150,41
2210,150,41
2215,150,41
2220,150,41
2225,150,41
2230,150,41
2235,149,41
2240,149,41
2245,149,41
2250,149,41
2255,149,41
2260,149,41
2265,149,41
2270,149,41
2275,149,41
2280,150,41
2285,149,41
2290,150,41
2295,150,41
2300,150,41
2305,150,41
2310,150,41
2315,149,41
2320,149,41
2325,149,41
2330,149,41
2335,149,41
2340,149,41
2345,149,41
2350,149,41
2355,149,40
2360,149,41
2365,149,41
2370,150,41
2375,150,40
2380,150,41
2385,150,40
2390,149,41
2395,149,41
2400,149,41
2405,149,41
2410,149,41
2415,149,41
2420,150,41
2425,150,41
2430,150,41
2435,150,41
2440,150,41
2445,150,41
2450,149,41
2455,149,41
2460,149,40
2465,149,40
2470,149,40
2475,149,40
2480,150,40
2485,150,41
2490,150,40
2495,150,41
2500,149,41
2505,150,41
2510,150,41
2515,150,41
2520,149,40
2525,149,41
2530,149,40
2535,149,40
2540,149,40
2545,149,40
2550,149,41
2555,149,40
2560,149,40
2565,150,41
2570,150,41
2575,150,41
2580,150,40
2585,150,40
2590,149,40
2595,149,40
2600,149,40
2605,149,40
2610,149,40
2615,149,40
2620,149,40
2625,149,40
2630,150,40
2635,150,40
2640,150,40
2645,150,40
2650,149,40
2655,149,40
2660,149,40
2665,150,40
2670,149,40
2675,150,40
2680,150,40
2685,150,40
2690,150,40
2695,150,40
2700,149,40
2705,149,40
2710,149,40
2715,149,40
2720,149,40
2725,149,40
2730,149,40
2735,149,40
2740,149,40
2745,149,40
2750,149,40
2755,150,40
2760,150,40
2765,150,40
2770,149,40
2775,149,40
2780,149,40
2785,150,40
2790,149,40
2795,149,40
2800,149,40
2805,150,40
2810,150,40
2815,150,40
2820,149,40
2825,149,40
2830,149,40
2835,149,40
2840,149,40
2845,149,40
2850,149,40
2855,150,40
2860,150,40
2865,150,40
2870,150,40
2875,150,40
2880,150,40
2885,149,40
2890,149,40
2895,149,40
2900,149,40
2905,149,40
2910,149,40
2915,149,40
2920,149,40
2925,149,40
2930,150,40
2935,150,40
2940,150,40
2945,149,40
2950,149,40
2955,150,40
2960,150,40
2965,150,40
2970,149,40
2975,149,40
2980,149,40
2985,149,40
2990,150,40
2995,149,40
3000,149,40
3005,149,40
3010,149,40
3015,150,40
3020,150,40
3025,149,40
3030,150,40
3035,149,40
3040,149,40
3045,149,40
3050,150,40
3055,150,40
3060,150,40
3065,150,40
3070,149,40
3075,150,40
3080,149,40
3085,149,40
3090,149,40
3095,149,40
3100,149,40
3105,149,40
3110,149,40
3115,149,40
