t (s),T0 (C),T1 (C)
0,113,31
5,113,31
10,113,31
15,113,31
20,114,31
25,114,31
30,114,31
35,114,31
40,114,31
45,114,31
50,114,31
55,114,31
60,114,31
65,115,31
70,115,31
75,115,31
80,116,31
85,115,31
90,116,31
95,115,31
100,116,31
105,116,31
110,116,31
115,116,31
120,117,31
125,116,31
130,116,31
135,117,31
140,118,31
145,117,31
150,117,31
155,118,31
160,118,31
165,118,31
170,118,31
175,119,31
180,119,31
185,119,31
190,120,31
195,120,31
200,120,31
205,120,31
210,120,31
215,120,31
220,120,31
225,120,31
230,121,31
235,121,31
240,121,31
245,121,31
250,121,31
255,121,31
260,121,31
265,121,31
270,121,31
275,121,31
280,121,31
285,121,31
290,121,31
295,122,31
300,122,31
305,122,31
310,122,31
315,122,31
320,123,31
325,123,31
330,123,31
335,123,31
340,123,31
345,124,31
350,124,31
355,124,31
360,124,31
365,124,31
370,124,31
375,124,31
380,124,31
385,124,31
390,125,31
395,125,31
400,125,32
405,125,32
410,125,32
415,125,32
420,126,32
425,126,32
430,126,32
435,126,32
440,126,32
445,126,32
450,126,32
455,127,32
460,127,32
465,127,32
470,127,32
475,127,32
480,127,32
485,128,32
490,128,32
495,128,32
500,128,32
505,128,32
510,128,32
515,128,32
520,129,32
525,129,32
530,129,32
535,129,32
540,130,32
545,129,32
550,129,32
555,129,32
560,130,32
565,130,32
570,130,32
575,130,32
580,131,32
585,131,32
590,131,32
595,131,32
600,131,32
605,132,32
610,132,32
615,131,32
620,132,32
625,132,32
630,132,32
635,132,32
640,132,32
645,133,32
650,133,32
655,133,32
660,133,32
665,133,32
670,133,32
675,134,32
680,133,32
685,133,32
690,134,32
695,133,32
700,134,32
705,134,32
710,134,32
715,134,32
720,134,32
725,134,32
730,135,32
735,135,32
740,135,32
745,135,32
750,135,32
755,136,32
760,136,32
765,136,32
770,136,32
775,136,32
780,136,32
785,137,32
790,137,32
795,137,32
800,137,32
805,138,32
810,138,32
815,138,32
820,138,32
825,137,32
830,138,32
835,138,32
840,138,32
845,138,32
850,138,32
855,138,32
860,139,32
865,139,32
870,139,32
875,140,32
880,140,32
885,140,32
890,140,32
895,140,32
900,140,32
905,140,32
910,141,32
915,141,32
920,141,32
925,141,33
930,141,33
935,141,33
940,141,33
945,141,32
950,141,32
955,141,33
960,142,33
965,142,33
970,143,33
975,142,33
980,142,33
985,142,33
990,142,33
995,143,33
1000,143,33
1005,144,33
1010,144,33
1015,144,33
1020,144,33
1025,144,33
1030,144,33
1035,144,33
1040,144,33
1045,144,33
1050,144,33
1055,144,33
1060,144,33
1065,145,33
1070,145,33
1075,145,33
1080,145,33
1085,145,33
1090,146,33
1095,146,33
1100,146,33
1105,146,33
1110,146,33
1115,146,33
1120,146,33
1125,146,33
1130,146,33
1135,146,33
1140,147,33
1145,147,33
1150,147,33
1155,147,33
1160,147,33
1165,148,33
1170,148,33
1175,148,33
1180,148,33
1185,148,33
1190,148,33
1195,148,33
1200,148,33
1205,149,33
1210,149,33
1215,150,33
1220,150,33
1225,150,33
1230,150,33
1235,150,33
1240,150,33
1245,150,33
1250,150,33
1255,150,33
1260,150,33
1265,150,33
1270,150,33
1275,149,33
1280,149,33
1285,150,33
1290,149,33
1295,149,33
1300,149,33
1305,149,33
1310,149,33
1315,150,33
1320,150,33
1325,149,33
1330,150,33
1335,150,33
1340,150,33
1345,150,33
1350,150,33
1355,150,33
1360,150,33
1365,150,33
1370,150,33
1375,150,34
1380,150,34
1385,150,34
1390,149,34
1395,149,34
1400,149,34
1405,149,34
1410,149,34
1415,149,34
1420,149,34
1425,149,34
1430,149,34
1435,149,34
1440,150,34
1445,150,34
1450,150,34
1455,150,34
1460,150,34
1465,150,34
1470,150,34
1475,150,34
1480,150,34
1485,149,34
1490,149,34
1495,149,34
1500,149,34
1505,150,34
1510,149,34
1515,150,34
1520,150,34
1525,150,34
1530,150,34
1535,150,34
1540,150,34
1545,149,34
1550,149,34
1555,149,34
1560,149,34
1565,149,34
1570,149,34
1575,149,34
1580,149,34
1585,149,34
1590,149,34
1595,149,34
1600,150,34
1605,149,34
1610,149,34
1615,150,34
1620,150,34
1625,150,34
1630,150,34
1635,150,34
1640,150,34
1645,150,34
1650,150,34
1655,150,34
1660,149,34
1665,149,34
1670,149,34
1675,149,34
1680,149,34
1685,149,34
1690,149,34
1695,149,34
1700,149,34
1705,150,34
1710,150,34
1715,150,34
1720,150,34
1725,150,34
1730,149,34
1735,149,34
1740,149,34
1745,149,34
1750,149,34
1755,149,34
1760,150,34
1765,150,34
1770,150,34
1775,150,34
1780,150,34
1785,150,34
1790,150,34
1795,149,34
1800,150,34
1805,149,34
1810,149,34
1815,149,34
1820,149,34
1825,149,34
1830,149,35
1835,150,34
1840,150,34
1845,150,35
1850,150,34
1855,149,35
1860,149,35
1865,149,35
1870,149,35
1875,149,35
1880,149,35
1885,149,35
1890,149,35
1895,150,35
1900,150,35
1905,150,35
1910,150,35
1915,150,35
1920,150,35
1925,150,35
1930,150,35
1935,150,35
1940,150,35
1945,149,35
1950,149,35
1955,149,35
1960,148,35
1965,148,35
1970,148,35
1975,149,35
1980,149,35
1985,149,35
1990,149,35
1995,149,35
2000,149,35
2005,149,35
2010,149,35
2015,150,35
2020,150,35
2025,150,35
2030,150,35
2035,150,35
2040,150,35
2045,150,35
2050,150,35
2055,149,35
2060,149,35
2065,149,35
2070,149,35
2075,149,35
2080,149,35
2085,149,35
2090,149,35
2095,149,35
2100,149,35
2105,149,35
2110,149,35
2115,150,35
2120,150,35
2125,150,35
2130,150,35
2135,150,35
2140,150,35
2145,149,35
2150,149,35
2155,149,35
2160,149,35
2165,149,35
2170,149,35
2175,150,35
2180,149,35
2185,150,35
2190,149,35
2195,150,35
2200,149,35
2205,150,35
2210,149,35
2215,150,35
2220,150,35
2225,150,35
2230,150,35
2235,149,35
2240,149,35
2245,149,35
2250,149,35
2255,149,35
2260,150,35
2265,149,35
2270,149,35
2275,149,35
2280,149,35
2285,150,35
2290,149,35
2295,149,35
2300,149,35
2305,149,35
2310,150,35
2315,150,35
2320,150,35
2325,150,35
2330,150,35
2335,149,35
2340,150,35
2345,149,35
2350,149,35
2355,149,35
2360,150,35
2365,149,35
2370,149,35
2375,150,35
2380,150,35
2385,150,35
2390,150,35
2395,149,35
2400,149,35
2405,149,35
2410,149,35
2415,149,35
2420,149,35
2425,149,35
2430,149,35
2435,149,35
2440,149,35
2445,149,35
2450,149,35
2455,149,35
2460,149,35
2465,150,35
2470,150,35
2475,150,35
2480,150,35
2485,150,35
2490,150,35
2495,150,35
2500,150,35
2505,150,35
2510,149,35
2515,149,35
2520,149,35
2525,149,35
2530,149,35
2535,149,35
2540,149,35
2545,149,35
2550,149,35
2555,149,35
2560,150,35
2565,150,35
2570,150,35
2575,150,35
2580,150,35
2585,150,35
2590,149,35
2595,149,35
2600,149,35
2605,149,35
2610,149,35
2615,149,35
2620,149,35
2625,150,35
2630,150,35
2635,150,35
2640,150,35
2645,149,35
2650,150,35
2655,149,36
2660,149,36
2665,149,35
2670,149,35
2675,149,35
2680,150,35
2685,150,35
2690,150,35
2695,149,35
2700,149,35
2705,149,36
2710,149,35
2715,150,35
2720,150,35
2725,150,35
2730,150,35
2735,149,36
2740,149,36
2745,149,36
2750,149,35
2755,149,35
2760,150,36
2765,150,36
2770,149,35
2775,150,35
2780,149,36
2785,149,36
2790,149,36
2795,150,36
2800,150,36
2805,150,36
2810,150,35
2815,150,36
2820,150,36
2825,149,36
2830,149,36
2835,149,36
2840,149,36
2845,148,36
2850,149,36
2855,149,36
2860,149,36
2865,149,36
2870,149,36
2875,149,35
2880,149,36
2885,150,36
2890,149,36
2895,150,36
2900,150,36
2905,150,36
2910,150,36
2915,150,36
2920,150,36
2925,150,36
2930,149,36
2935,149,36
2940,149,36
2945,149,36
2950,149,36
2955,149,36
2960,149,36
2965,149,36
2970,149,36
2975,149,36
2980,149,36
2985,149,36
2990,149,36
2995,149,36
3000,149,36
3005,150,36
3010,150,36
3015,149,36
3020,150,36
3025,150,36
3030,150,36
3035,150,36
3040,150,36
3045,150,36
3050,150,36
3055,150,36
3060,150,36
3065,149,36
3070,149,36
3075,149,36
3080,149,36
3085,149,36
3090,149,36
3095,149,36
3100,149,36
3105,149,36
3110,149,36
3115,150,36
3120,150,36
3125,150,36
3130,150,36
3135,150,36
3140,150,36
3145,149,36
3150,149,36
3155,149,36
3160,149,36
3165,148,36
3170,148,36
3175,149,36
3180,149,36
3185,149,36
3190,149,36
3195,149,36
3200,149,36
3205,149,36
3210,149,36
3215,149,36
3220,149,36
3225,150,36
3230,150,36
3235,150,36
3240,150,36
3245,150,36
3250,149,36
3255,149,36
3260,150,36
3265,149,36
3270,149,36
3275,150,36
3280,150,36
3285,149,36
3290,150,36
3295,149,36
3300,149,36
3305,149,36
3310,149,36
3315,148,36
3320,149,36
3325,149,36
3330,149,36
3335,149,36
3340,150,36
3345,150,36
3350,150,36
3355,150,36
3360,150,36
3365,150,36
3370,150,36
3375,150,36
3380,150,36
3385,149,36
3390,149,36
3395,149,36
3400,149,36
3405,149,36
3410,149,36
3415,149,36
3420,149,36
3425,150,36
3430,150,36
3435,149,36
3440,149,36
3445,149,36
3450,149,36
3455,149,36
3460,149,36
3465,149,36
3470,150,36
3475,149,36
3480,149,36
3485,149,36
3490,150,36
3495,150,36
3500,150,36
3505,150,36
3510,150,36
3515,150,36
3520,150,36
3525,150,36
3530,149,36
3535,149,36
3540,149,36
3545,149,36
3550,149,36
3555,149,36
3560,149,36
3565,149,36
3570,149,36
3575,149,36
3580,149,36
3585,150,36
3590,149,36
3595,149,36
3600,149,36
3605,149,36
3610,150,36
3615,150,36
3620,149,36
3625,149,36
3630,150,36
3635,150,36
3640,150,36
3645,150,36
3650,150,36
3655,150,36
3660,149,36
3665,149,36
3670,149,36
3675,149,36
3680,149,36
3685,149,36
3690,149,36
3695,150,36
3700,150,36
3705,149,36
3710,149,36
3715,149,36
3720,150,36
3725,149,36
3730,149,36
3735,150,36
3740,150,36
3745,150,36
3750,149,36
3755,149,36
3760,150,36
3765,150,36
3770,150,36
3775,149,36
3780,149,36
3785,149,36
3790,149,36
3795,149,36
3800,150,36
3805,150,36
3810,150,36
3815,150,36
3820,150,36
3825,150,36
3830,150,36
3835,149,36
3840,149,36
3845,149,36
3850,149,36
3855,149,36
3860,149,36
3865,149,36
3870,149,36
3875,149,36
3880,149,36
3885,149,36
3890,149,36
3895,149,36
3900,149,36
3905,150,36
3910,148,36
3915,147,36
3920,147,36
3925,147,36
3930,147,36
3935,147,36
3940,147,36
