t (s),T0 (C),T1 (C)
0,48,27
5,48,27
10,48,27
15,48,27
20,49,27
25,49,27
30,49,27
35,49,27
40,49,27
45,50,27
50,50,27
55,50,27
60,50,27
65,51,27
70,51,27
75,51,27
80,51,27
85,51,27
90,51,27
95,51,27
100,51,27
105,51,27
110,51,27
115,51,27
120,51,27
125,51,27
130,52,27
135,52,27
140,52,27
145,52,27
150,52,27
155,53,27
160,53,27
165,53,27
170,53,27
175,54,27
180,54,27
185,54,27
190,54,27
195,54,27
200,54,27
205,54,27
210,55,27
215,55,27
220,55,27
225,55,27
230,55,27
235,55,27
240,55,27
245,56,27
250,56,27
255,56,27
260,56,27
265,57,27
270,57,27
275,57,27
280,57,27
285,57,27
290,56,27
295,57,27
300,57,27
305,57,27
310,57,27
315,57,27
320,57,27
325,58,27
330,58,27
335,58,28
340,58,28
345,58,28
350,59,28
355,59,28
360,59,28
365,59,28
370,60,28
375,60,28
380,60,28
385,60,28
390,60,28
395,60,28
400,60,28
405,60,28
410,61,28
415,61,28
420,61,28
425,61,28
430,62,28
435,62,28
440,62,28
445,62,28
450,62,28
455,62,28
460,62,28
465,62,28
470,62,28
475,62,28
480,62,28
485,62,28
490,63,28
495,63,28
500,63,28
505,63,28
510,63,28
515,64,28
520,64,28
525,64,28
530,64,28
535,64,28
540,65,28
545,65,28
550,65,28
555,65,28
560,65,28
565,66,28
570,66,28
575,66,28
580,66,28
585,66,28
590,66,28
595,66,28
600,66,28
605,66,28
610,66,28
615,67,28
620,67,28
625,67,28
630,67,28
635,68,28
640,68,28
645,68,28
650,68,28
655,68,28
660,68,28
665,68,28
670,68,28
675,69,28
680,69,28
685,69,28
690,69,28
695,69,28
700,69,28
705,70,28
710,70,28
715,70,28
720,70,28
725,70,28
730,70,28
735,71,28
740,71,28
745,71,28
750,71,28
755,71,28
760,71,28
765,71,28
770,72,28
775,72,28
780,72,28
785,72,28
790,72,28
795,72,28
800,72,28
805,72,28
810,72,28
815,72,28
820,73,28
825,73,28
830,73,28
835,73,28
840,74,28
845,74,28
850,74,28
855,74,28
860,75,28
865,75,28
870,75,28
875,75,28
880,75,28
885,75,28
890,75,28
895,75,28
900,75,28
905,75,28
910,76,28
915,76,28
920,76,28
925,76,28
930,76,28
935,76,28
940,77,29
945,77,28
950,77,29
955,77,28
960,77,29
965,77,28
970,78,28
975,78,29
980,78,29
985,78,29
990,78,29
995,79,29
1000,79,29
1005,79,29
1010,79,29
1015,79,29
1020,79,29
1025,79,29
1030,79,29
1035,79,29
1040,80,29
1045,80,29
1050,80,29
1055,80,29
1060,80,29
1065,80,29
1070,81,29
1075,81,29
1080,81,29
1085,81,29
1090,81,29
1095,82,29
1100,82,29
1105,82,29
1110,82,29
1115,82,29
1120,82,29
1125,82,29
1130,82,29
1135,82,29
1140,82,29
1145,83,29
1150,83,29
1155,83,29
1160,83,29
1165,84,29
1170,84,29
1175,84,29
1180,84,29
1185,84,29
1190,84,29
1195,84,29
1200,85,29
1205,85,29
1210,85,29
1215,85,29
1220,85,29
1225,85,29
1230,86,29
1235,86,29
1240,86,29
1245,86,29
1250,86,29
1255,86,29
1260,86,29
1265,87,29
1270,87,29
1275,87,29
1280,87,29
1285,87,29
1290,87,29
1295,88,29
1300,88,29
1305,88,29
1310,88,29
1315,88,29
1320,88,29
1325,88,29
1330,88,29
1335,88,29
1340,89,29
1345,88,29
1350,89,29
1355,89,29
1360,89,29
1365,89,29
1370,90,29
1375,90,29
1380,90,29
1385,90,29
1390,91,29
1395,91,29
1400,91,29
1405,91,29
1410,91,30
1415,91,30
1420,91,30
1425,91,30
1430,91,30
1435,92,30
1440,92,30
1445,92,30
1450,92,30
1455,92,30
1460,92,30
1465,93,30
1470,93,30
1475,93,30
1480,93,30
1485,93,30
1490,93,30
1495,94,30
1500,94,30
1505,94,30
1510,94,30
1515,94,30
1520,94,30
1525,95,30
1530,95,30
1535,95,30
1540,95,30
1545,95,30
1550,95,30
1555,95,30
1560,95,30
1565,96,30
1570,96,30
1575,96,30
1580,96,30
1585,96,30
1590,96,30
1595,96,30
1600,96,30
1605,96,30
1610,97,30
1615,97,30
1620,98,30
1625,98,30
1630,98,30
1635,98,30
1640,98,30
1645,98,30
1650,98,30
1655,98,30
1660,98,30
1665,99,30
1670,99,30
1675,99,30
1680,99,30
1685,99,30
1690,99,30
1695,100,30
1700,100,30
1705,100,30
1710,100,30
1715,101,30
1720,101,30
1725,100,30
1730,101,30
1735,101,30
1740,101,30
1745,101,30
1750,101,30
1755,101,30
1760,101,30
1765,101,30
1770,101,31
1775,102,30
1780,102,31
1785,102,31
1790,102,30
1795,102,30
1800,103,31
1805,103,31
1810,103,31
1815,103,31
1820,104,31
1825,104,31
1830,104,31
1835,104,31
1840,104,31
1845,104,31
1850,105,31
1855,105,31
1860,105,31
1865,105,31
1870,106,31
1875,105,31
1880,105,31
1885,105,31
1890,105,31
1895,106,31
1900,106,31
1905,106,31
1910,106,31
1915,106,31
1920,107,31
1925,107,31
1930,107,31
1935,107,31
1940,107,31
1945,107,31
1950,107,31
1955,108,31
1960,108,31
1965,108,31
1970,108,31
1975,108,31
1980,108,31
1985,108,31
1990,108,31
1995,109,31
2000,108,31
2005,109,31
2010,109,31
2015,109,31
2020,109,31
2025,109,31
2030,110,31
2035,110,31
2040,110,31
2045,111,31
2050,111,31
2055,111,31
2060,111,31
2065,111,31
2070,111,31
2075,111,31
2080,111,31
2085,111,31
2090,111,31
2095,111,31
2100,111,31
2105,112,31
2110,112,31
2115,112,31
2120,112,31
2125,113,31
2130,113,31
2135,113,31
2140,113,31
2145,113,31
2150,113,31
2155,114,31
2160,114,31
2165,114,31
2170,114,31
2175,114,31
2180,115,31
2185,115,31
2190,115,31
2195,115,31
2200,115,31
2205,115,31
2210,115,31
2215,115,31
2220,115,31
2225,116,32
2230,116,32
2235,116,32
2240,116,31
2245,116,32
2250,116,32
2255,116,32
2260,117,32
2265,117,32
2270,117,32
2275,117,32
2280,117,32
2285,118,32
2290,118,32
2295,118,32
2300,118,32
2305,118,32
2310,118,32
2315,119,32
2320,119,32
2325,119,32
2330,119,32
2335,119,32
2340,119,32
2345,119,32
2350,119,32
2355,119,32
2360,119,32
2365,120,32
2370,120,32
2375,120,32
2380,120,32
2385,120,32
2390,121,32
2395,121,32
2400,120,32
2405,121,32
2410,121,32
2415,121,32
2420,122,32
2425,122,32
2430,122,32
2435,122,32
2440,122,32
2445,123,32
2450,123,32
2455,123,32
2460,123,32
2465,123,32
2470,123,32
2475,123,32
2480,124,32
2485,124,32
2490,124,32
2495,124,32
2500,124,32
2505,124,32
2510,124,32
2515,124,32
2520,125,32
2525,125,32
2530,125,32
2535,125,32
2540,125,32
2545,125,32
2550,126,32
2555,126,32
2560,126,32
2565,126,32
2570,126,32
2575,126,32
2580,127,32
2585,127,32
2590,127,32
2595,127,32
2600,127,32
2605,127,32
2610,127,32
2615,127,32
2620,128,32
2625,127,32
2630,128,32
2635,128,32
2640,128,32
2645,129,33
2650,129,33
2655,128,33
2660,128,33
2665,128,33
2670,129,33
2675,129,33
2680,129,32
2685,129,33
2690,129,33
2695,129,33
2700,130,33
2705,130,33
2710,130,33
2715,130,33
2720,130,33
2725,130,33
2730,131,32
2735,131,33
2740,131,33
2745,131,33
2750,131,33
2755,132,33
2760,132,33
2765,132,33
2770,132,33
2775,132,33
2780,132,33
2785,133,33
2790,133,33
2795,133,33
2800,133,33
2805,133,33
2810,133,33
2815,133,33
2820,134,33
2825,134,33
2830,134,33
2835,134,33
2840,135,33
2845,135,33
2850,135,33
2855,135,33
2860,135,33
2865,135,33
