t (s),T0 (C),T1 (C)
0,26,26
5,26,26
10,27,26
15,26,26
20,27,26
25,27,26
30,27,26
35,27,26
40,27,26
45,27,26
50,27,26
55,28,26
60,28,26
65,28,26
70,29,26
75,29,26
80,30,26
85,30,26
90,30,26
95,30,26
100,30,26
105,31,26
110,31,26
115,31,26
120,31,26
125,31,26
130,31,26
135,31,26
140,31,26
145,31,26
150,31,26
155,32,26
160,32,26
165,31,26
170,31,26
175,32,26
180,32,26
185,32,26
190,32,26
195,32,28
200,32,27
205,33,26
210,33,26
215,33,26
220,33,26
225,34,26
230,34,26
235,34,26
240,34,26
245,35,26
250,35,26
255,35,26
260,35,26
265,35,26
270,35,26
275,35,26
280,35,26
285,35,26
290,35,26
295,35,26
300,35,26
305,36,26
310,36,27
315,36,28
320,36,31
325,36,31
330,37,29
335,37,28
340,37,28
345,37,28
350,37,28
355,37,27
360,38,27
365,38,27
370,38,27
375,38,27
380,39,27
385,39,27
390,39,27
395,39,27
400,39,27
405,39,27
410,39,27
415,39,27
420,39,27
425,39,27
430,40,28
435,40,28
440,40,28
445,40,28
450,40,27
455,40,28
460,40,27
465,41,27
470,41,27
475,41,27
480,41,27
485,42,28
490,42,27
495,42,27
500,42,27
505,42,27
510,42,27
515,43,27
520,43,27
525,43,27
530,43,27
535,43,28
540,43,28
545,43,28
550,43,28
555,43,27
560,43,28
565,44,27
570,44,27
575,44,27
580,44,27
585,44,27
590,45,27
595,45,27
600,45,27
605,45,27
610,45,27
615,46,27
620,46,27
625,46,27
630,46,27
635,46,27
640,46,27
645,46,27
650,46,27
655,46,27
660,47,27
665,47,27
670,47,27
675,47,27
680,47,27
685,47,27
690,47,27
695,48,27
700,48,27
705,48,27
710,48,27
715,49,27
720,49,27
725,49,27
730,49,27
735,49,27
740,50,27
745,50,27
750,50,27
755,50,27
760,50,27
765,50,27
770,50,27
775,50,27
780,50,27
785,50,27
790,50,27
795,50,27
800,51,28
805,51,27
810,51,27
815,51,27
820,52,27
825,52,27
830,52,27
835,53,27
840,53,28
845,53,27
850,53,27
855,53,27
860,53,28
865,53,27
870,53,28
875,53,28
880,53,27
885,53,27
890,53,27
895,54,28
900,54,27
905,54,28
910,54,27
915,54,28
920,55,28
925,55,27
930,55,27
935,55,28
940,56,28
945,56,27
950,56,27
955,56,27
960,56,28
965,56,28
970,56,28
975,56,28
980,56,28
985,56,28
990,57,28
995,57,28
1000,57,28
1005,57,28
1010,57,28
1015,58,28
1020,58,28
1025,58,28
1030,58,28
1035,58,28
1040,58,28
1045,58,28
1050,59,28
1055,59,28
1060,59,28
1065,59,28
1070,59,28
1075,59,28
1080,59,28
1085,60,28
1090,60,28
1095,60,28
1100,60,28
1105,61,28
1110,61,28
1115,61,28
1120,61,28
1125,61,28
1130,61,28
1135,61,28
1140,61,28
1145,61,28
1150,61,28
1155,61,28
1160,62,28
1165,62,28
1170,62,28
1175,62,28
1180,63,28
1185,63,28
1190,63,28
1195,63,28
1200,63,28
1205,64,28
1210,64,28
1215,64,28
1220,64,28
1225,64,28
1230,65,28
1235,65,28
1240,64,28
1245,64,28
1250,65,28
1255,65,28
1260,65,28
1265,65,28
1270,65,28
1275,65,28
1280,65,28
1285,65,28
1290,66,28
1295,66,28
1300,66,28
1305,66,28
1310,67,28
1315,67,28
1320,67,28
1325,67,28
1330,67,28
1335,67,28
1340,68,28
1345,68,28
1350,68,28
1355,68,28
1360,68,28
1365,68,28
1370,68,28
1375,68,28
1380,69,28
1385,69,28
1390,69,28
1395,69,28
1400,69,28
1405,69,28
1410,70,28
1415,70,28
1420,70,28
1425,70,28
1430,70,28
1435,70,28
1440,70,28
1445,70,28
1450,71,28
1455,71,28
1460,71,28
1465,71,28
1470,71,28
1475,72,28
1480,72,28
1485,72,28
1490,72,28
1495,72,28
1500,72,28
1505,72,28
1510,73,28
1515,73,28
1520,73,28
1525,73,28
1530,73,28
1535,74,28
1540,74,28
1545,74,28
1550,74,28
1555,74,28
1560,74,28
1565,74,28
1570,74,29
1575,74,28
1580,75,28
1585,75,29
1590,75,29
1595,75,29
1600,75,29
1605,76,29
1610,76,29
1615,76,29
1620,76,29
1625,76,29
1630,76,29
1635,76,29
1640,77,29
1645,77,29
1650,77,29
1655,77,29
1660,77,29
1665,77,29
1670,77,29
1675,78,29
1680,78,29
1685,78,29
1690,78,29
1695,78,29
1700,78,29
1705,78,29
1710,79,29
1715,79,29
1720,79,29
1725,79,29
1730,80,29
1735,80,29
1740,80,29
1745,80,29
1750,80,29
1755,80,29
1760,80,29
1765,80,29
1770,80,29
1775,80,29
1780,80,29
1785,81,29
1790,81,29
1795,81,29
1800,82,29
1805,82,29
1810,82,29
1815,82,29
1820,82,29
1825,82,29
1830,82,29
1835,82,29
1840,82,29
1845,83,29
1850,83,29
1855,83,29
1860,83,29
1865,83,29
1870,84,29
1875,84,29
1880,84,29
1885,84,29
1890,84,29
1895,85,29
1900,85,29
1905,85,29
1910,85,29
1915,85,29
1920,85,29
1925,85,29
1930,85,29
1935,85,29
1940,85,29
1945,86,29
1950,86,29
1955,86,30
1960,86,30
1965,87,30
1970,87,30
1975,87,30
1980,87,30
1985,87,30
1990,87,30
1995,87,30
2000,87,30
2005,88,30
2010,88,30
2015,88,30
2020,88,30
2025,88,30
2030,89,30
2035,89,30
2040,89,30
2045,89,30
2050,89,30
2055,89,30
2060,89,30
2065,89,30
2070,89,30
2075,89,30
2080,90,30
2085,90,30
2090,90,30
2095,91,30
2100,91,30
2105,91,30
2110,91,30
2115,91,30
2120,91,30
2125,91,30
2130,91,30
2135,91,30
2140,92,30
2145,92,30
2150,92,30
2155,92,30
2160,93,30
2165,93,30
2170,93,30
2175,93,30
2180,93,30
2185,93,30
2190,93,30
2195,93,30
2200,93,30
2205,94,30
2210,94,30
2215,94,30
2220,94,30
2225,95,30
2230,95,30
2235,95,31
2240,95,30
2245,95,31
2250,95,31
2255,95,31
2260,95,31
2265,95,31
2270,95,31
2275,96,31
2280,96,31
2285,96,31
2290,96,31
2295,96,31
2300,97,31
2305,97,31
2310,97,31
2315,97,31
2320,98,31
2325,98,31
2330,98,31
2335,98,31
2340,98,31
2345,98,31
2350,98,31
2355,98,31
2360,98,31
2365,98,31
2370,98,31
2375,99,31
2380,99,31
2385,99,31
2390,99,31
2395,100,31
2400,100,31
2405,100,31
2410,100,31
2415,100,31
2420,101,31
2425,101,31
2430,101,31
2435,100,31
2440,101,31
2445,101,31
2450,101,31
2455,101,31
2460,102,31
2465,102,31
2470,102,31
2475,102,31
2480,102,31
2485,102,31
2490,102,31
2495,102,31
2500,102,31
2505,103,31
2510,103,31
2515,103,31
2520,103,32
2525,104,32
2530,104,32
2535,104,32
2540,104,32
2545,104,32
2550,104,32
2555,104,32
2560,104,32
2565,104,32
2570,105,32
2575,105,32
2580,105,32
2585,105,32
2590,106,32
2595,106,32
2600,106,32
2605,106,32
2610,106,32
2615,106,32
2620,106,32
2625,106,32
2630,106,32
2635,106,32
2640,107,32
2645,107,32
2650,107,32
2655,107,32
2660,107,32
2665,108,32
2670,108,32
2675,108,32
2680,108,32
2685,108,32
2690,108,32
2695,109,32
2700,109,32
2705,110,32
2710,110,32
2715,110,32
2720,110,32
2725,110,32
2730,110,32
2735,110,32
2740,110,32
2745,110,32
2750,110,32
2755,110,32
2760,110,32
2765,110,32
2770,111,32
2775,111,32
2780,111,32
2785,111,32
2790,111,32
2795,111,32
2800,112,32
2805,112,33
2810,112,33
2815,112,33
2820,113,33
2825,113,33
2830,113,33
2835,113,33
2840,113,33
2845,113,33
2850,113,33
2855,113,33
2860,113,33
2865,114,33
2870,114,33
2875,114,33
2880,115,33
2885,115,33
2890,115,33
2895,115,33
2900,115,33
2905,115,33
2910,115,33
2915,115,33
2920,116,33
2925,116,33
2930,116,33
2935,116,33
2940,115,33
2945,115,33
2950,116,33
2955,116,33
2960,116,33
2965,116,33
2970,116,33
2975,117,33
2980,117,33
2985,117,33
2990,118,33
2995,118,33
3000,118,33
3005,118,33
3010,118,33
3015,118,33
3020,118,33
3025,118,33
3030,119,33
3035,119,34
3040,119,34
3045,119,34
3050,119,34
3055,120,34
3060,120,34
3065,120,34
3070,120,34
3075,120,34
3080,120,34
3085,121,34
3090,121,34
3095,121,34
3100,121,34
3105,121,34
3110,121,34
3115,121,34
3120,121,34
3125,122,34
3130,122,34
3135,122,34
3140,123,34
3145,122,34
3150,122,34
3155,122,34
3160,123,34
3165,123,34
3170,123,34
3175,123,34
3180,123,34
3185,123,34
3190,124,34
3195,124,34
3200,124,34
3205,124,34
3210,124,34
3215,124,34
3220,125,34
3225,125,34
3230,125,34
3235,125,34
3240,125,34
3245,125,34
3250,126,34
3255,126,34
3260,126,34
3265,126,34
3270,126,34
3275,126,35
3280,127,35
3285,126,35
3290,126,35
3295,126,35
3300,127,35
3305,127,35
3310,127,35
3315,128,35
3320,128,35
3325,128,35
3330,128,35
3335,128,35
3340,128,35
3345,128,35
3350,128,35
3355,128,35
3360,128,35
3365,129,35
3370,129,35
3375,129,35
3380,129,35
3385,130,35
3390,129,35
3395,130,35
3400,129,35
3405,130,35
3410,130,35
3415,130,35
3420,130,35
3425,131,35
3430,131,35
3435,131,35
3440,131,35
3445,131,35
3450,132,35
3455,132,35
3460,132,35
3465,132,35
3470,132,35
3475,132,35
3480,132,35
3485,132,35
3490,132,35
3495,132,35
3500,133,35
3505,133,35
3510,133,35
3515,134,35
3520,134,35
3525,134,35
3530,134,36
3535,134,36
3540,134,35
3545,135,36
3550,135,36
3555,135,36
3560,135,36
3565,135,36
3570,135,36
3575,135,36
3580,135,36
3585,135,36
3590,135,36
3595,136,36
3600,136,36
3605,136,36
3610,136,36
3615,136,36
3620,136,36
3625,137,36
3630,137,36
3635,137,36
3640,137,36
3645,137,36
3650,137,36
3655,138,36
3660,138,36
3665,138,36
3670,138,36
3675,138,36
3680,138,36
3685,139,36
3690,139,36
3695,139,36
3700,139,36
3705,139,36
3710,139,36
3715,139,36
3720,140,36
3725,140,36
3730,141,36
3735,141,37
3740,141,37
3745,141,37
3750,140,37
3755,140,37
3760,140,37
3765,141,37
3770,141,37
3775,141,37
3780,141,37
3785,141,37
3790,141,37
3795,142,37
3800,142,37
3805,142,37
3810,142,37
3815,142,37
3820,142,37
3825,142,37
3830,143,37
3835,143,37
3840,143,37
3845,143,37
3850,143,37
3855,144,37
3860,144,37
3865,144,37
3870,144,37
3875,144,37
3880,144,37
3885,144,37
3890,144,37
3895,145,37
3900,145,37
3905,145,37
3910,145,37
3915,145,37
3920,145,38
3925,145,38
3930,145,38
3935,145,38
3940,144,38
3945,144,38
3950,144,38
3955,144,38
3960,144,38
3965,143,38
3970,143,38
3975,143,38
3980,143,38
3985,143,38
3990,142,38
3995,142,38
4000,142,38
4005,142,38
4010,142,38
4015,142,38
4020,141,38
4025,142,38
4030,141,38
4035,141,38
4040,141,38
4045,141,38
4050,141,38
4055,141,38
4060,140,38
4065,140,38
4070,140,38
4075,140,38
4080,140,38
4085,140,38
4090,140,38
4095,139,38
4100,139,38
4105,139,38
4110,139,38
4115,138,38
4120,139,38
4125,138,39
4130,138,38
4135,138,39
4140,138,39
4145,138,39
4150,137,39
4155,137,39
4160,137,39
4165,137,39
4170,137,39
4175,137,39
4180,136,39
4185,136,39
4190,136,39
4195,136,39
4200,136,39
4205,136,39
4210,136,39
4215,135,39
4220,136,39
4225,135,39
4230,135,39
4235,135,39
4240,134,39
4245,134,39
4250,134,39
4255,134,39
4260,134,39
4265,134,39
4270,134,39
4275,134,39
4280,134,39
4285,133,39
4290,133,39
4295,133,39
4300,133,39
4305,133,39
4310,133,39
4315,133,39
4320,132,39
4325,131,39
4330,131,39
4335,131,39
4340,131,39
4345,131,39
4350,131,39
4355,131,39
4360,131,39
4365,131,39
4370,131,39
4375,130,39
4380,130,40
4385,130,39
4390,130,40
4395,130,40
4400,130,39
4405,130,40
4410,129,40
4415,129,39
4420,129,40
4425,129,40
4430,129,40
4435,129,40
4440,129,40
4445,128,40
4450,128,40
4455,128,40
4460,128,40
4465,128,40
4470,128,40
4475,127,40
4480,127,40
4485,127,40
4490,127,40
4495,127,40
4500,127,40
4505,126,40
4510,126,40
4515,126,40
4520,126,40
4525,126,40
4530,126,40
4535,125,40
4540,125,40
4545,125,40
4550,125,40
4555,125,40
4560,124,40
4565,124,40
4570,124,40
4575,124,40
4580,124,40
4585,124,40
4590,123,40
4595,123,40
4600,123,40
4605,123,40
4610,123,40
4615,122,40
4620,122,40
4625,122,40
4630,122,40
4635,122,40
4640,122,40
4645,121,40
4650,121,40
4655,121,40
4660,121,40
4665,121,40
4670,120,40
4675,120,40
4680,120,40
4685,120,40
4690,120,40
4695,120,40
4700,119,40
4705,119,40
4710,119,40
4715,119,40
4720,119,40
4725,118,40
4730,118,40
4735,118,40
4740,118,40
4745,118,40
4750,118,40
4755,117,40
4760,117,40
4765,117,40
4770,117,40
4775,117,40
4780,117,40
4785,116,40
4790,116,40
4795,116,40
4800,116,40
4805,116,40
4810,115,40
4815,115,40
4820,115,40
4825,115,40
4830,115,40
4835,115,40
4840,114,40
4845,114,40
4850,114,40
4855,114,40
4860,113,40
4865,113,40
4870,113,40
4875,113,40
4880,113,40
4885,113,40
4890,112,40
4895,112,40
4900,112,39
4905,112,40
4910,112,40
4915,112,40
4920,111,39
4925,111,40
4930,111,39
4935,111,39
4940,111,39
4945,111,40
4950,111,39
4955,110,39
4960,110,39
4965,110,39
4970,110,39
4975,110,39
4980,110,39
4985,109,39
4990,109,39
4995,109,39
5000,109,39
5005,109,39
5010,108,39
5015,108,39
5020,108,39
5025,108,39
5030,108,39
5035,108,39
5040,107,39
5045,107,39
5050,107,39
5055,107,39
5060,107,39
5065,107,39
5070,106,39
5075,106,39
5080,106,39
5085,106,39
5090,106,39
5095,106,39
5100,105,39
5105,105,39
5110,105,39
5115,105,39
5120,105,39
5125,105,39
5130,105,39
5135,105,39
5140,104,39
5145,104,39
5150,104,39
5155,104,39
5160,104,39
5165,104,39
5170,103,39
5175,103,39
5180,103,39
5185,103,39
5190,103,39
5195,103,39
5200,103,39
5205,102,39
5210,102,39
5215,102,39
5220,102,39
5225,102,39
5230,101,39
5235,101,39
5240,101,39
5245,101,39
5250,101,39
5255,101,39
5260,101,39
5265,100,39
5270,100,38
5275,100,39
5280,100,39
5285,100,38
5290,100,38
5295,99,39
5300,99,38
5305,99,38
5310,99,38
5315,99,38
5320,99,38
5325,99,38
5330,99,38
5335,98,38
5340,98,38
5345,98,38
5350,98,38
5355,98,38
5360,98,38
5365,97,38
5370,97,38
5375,97,38
5380,97,38
5385,97,38
5390,97,38
5395,97,38
5400,96,38
5405,96,38
5410,96,38
5415,96,38
5420,96,38
5425,96,38
5430,96,38
5435,96,38
5440,95,38
5445,95,38
5450,95,38
5455,95,38
5460,95,38
5465,95,38
5470,95,38
5475,94,38
5480,94,38
5485,94,38
5490,94,38
5495,94,38
5500,94,38
5505,93,38
5510,93,38
5515,93,38
5520,93,38
5525,93,38
5530,93,38
5535,93,38
5540,93,38
5545,93,38
5550,92,38
5555,92,38
5560,92,38
5565,92,38
5570,92,38
5575,92,38
5580,92,38
5585,91,38
5590,91,37
5595,91,37
5600,91,37
5605,91,37
5610,91,37
5615,91,37
5620,90,37
5625,90,37
5630,90,37
5635,90,37
5640,90,37
5645,90,37
5650,90,37
5655,89,37
5660,89,37
5665,89,37
5670,89,37
5675,89,37
5680,89,37
5685,89,37
5690,89,37
5695,89,37
5700,88,37
5705,88,37
5710,88,37
5715,88,37
5720,88,37
5725,88,37
5730,88,37
5735,88,37
5740,88,37
5745,87,37
5750,87,37
5755,87,37
5760,87,37
5765,87,37
5770,87,37
5775,87,37
5780,86,37
5785,86,37
5790,86,37
5795,86,37
5800,86,37
5805,86,37
5810,85,37
5815,85,37
5820,85,37
5825,85,37
5830,85,37
5835,85,37
5840,85,36
5845,85,36
5850,85,36
5855,85,36
5860,84,36
5865,84,36
5870,84,36
5875,84,36
5880,84,36
5885,84,36
5890,84,36
5895,83,36
5900,83,36
5905,83,36
5910,83,36
5915,83,36
5920,83,36
5925,83,36
5930,83,36
5935,83,36
5940,83,36
5945,82,36
5950,82,36
5955,82,36
5960,82,36
5965,82,36
5970,82,36
5975,82,36
5980,82,36
5985,81,36
5990,81,36
5995,81,36
6000,81,36
6005,81,36
6010,81,36
6015,81,36
6020,81,36
6025,80,36
6030,79,36
6035,79,36
6040,79,36
6045,79,36
6050,79,36
6055,79,36
6060,79,36
6065,79,36
6070,79,36
6075,79,35
6080,78,35
6085,78,35
6090,79,35
6095,78,35
6100,77,35
6105,77,35
6110,77,35
6115,77,35
6120,77,35
6125,77,35
6130,77,35
6135,77,35
6140,77,35
6145,77,35
6150,77,35
6155,76,35
6160,76,35
6165,76,35
6170,76,35
6175,76,35
6180,76,35
6185,75,35
6190,75,35
6195,75,35
6200,75,35
6205,75,35
6210,75,35
6215,75,35
6220,75,35
6225,74,35
6230,73,35
6235,73,35
6240,73,35
6245,73,35
6250,73,35
6255,73,35
6260,73,35
6265,73,35
6270,73,35
6275,73,35
6280,73,35
6285,72,35
6290,72,35
6295,72,35
6300,72,35
6305,72,35
6310,72,35
6315,72,35
6320,71,35
6325,71,35
6330,71,35
6335,71,35
6340,71,34
6345,71,35
6350,71,34
6355,70,34
6360,70,34
6365,70,35
6370,70,34
6375,70,34
6380,70,34
6385,69,34
6390,69,34
6395,69,34
6400,69,34
6405,69,34
6410,70,34
6415,69,34
6420,68,34
6425,68,34
6430,68,34
6435,68,34
6440,68,34
6445,68,34
6450,68,34
6455,67,34
6460,67,34
6465,67,34
6470,67,34
6475,67,34
6480,67,34
6485,66,34
6490,66,34
6495,66,34
6500,66,34
6505,66,34
6510,66,34
6515,66,34
6520,65,34
6525,65,34
6530,66,34
6535,65,34
6540,65,34
6545,65,34
6550,65,34
6555,64,34
6560,64,34
6565,64,34
6570,64,34
6575,65,34
6580,64,34
6585,64,34
6590,63,34
6595,63,34
6600,63,34
6605,63,34
6610,64,34
6615,63,34
6620,63,34
6625,62,34
6630,62,34
6635,62,34
6640,63,34
6645,62,34
6650,62,34
6655,61,33
6660,61,33
6665,61,33
6670,62,33
6675,62,33
6680,61,33
6685,61,33
6690,60,33
6695,60,33
6700,60,33
6705,60,33
6710,60,33
6715,60,33
6720,59,33
6725,59,33
6730,60,33
6735,59,33
6740,59,33
6745,59,33
6750,59,33
6755,58,33
6760,59,33
6765,59,33
6770,58,33
6775,58,33
6780,58,33
6785,58,33
6790,57,33
6795,57,33
6800,58,33
6805,58,33
6810,57,33
6815,57,33
6820,57,33
6825,56,33
6830,56,33
6835,57,33
6840,56,33
6845,56,33
6850,56,33
6855,56,33
6860,55,33
6865,55,33
6870,56,33
6875,56,33
6880,55,33
6885,55,33
6890,55,33
6895,55,33
6900,55,33
6905,54,33
6910,54,33
6915,54,33
6920,54,33
6925,54,33
6930,53,33
6935,54,33
6940,54,33
6945,53,33
6950,53,33
6955,53,33
6960,53,33
6965,53,33
6970,53,32
6975,52,32
6980,52,32
6985,52,33
6990,52,32
6995,52,32
7000,52,32
7005,52,32
7010,52,32
7015,52,32
7020,51,32
7025,51,32
7030,51,32
7035,51,32
7040,51,32
7045,51,32
7050,51,32
7055,51,32
7060,50,32
7065,50,32
7070,50,32
7075,50,32
7080,50,32
7085,50,32
7090,50,32
7095,50,32
7100,50,32
7105,50,32
7110,50,32
7115,49,32
7120,49,32
7125,49,32
7130,49,32
7135,49,32
7140,49,32
7145,49,32
7150,49,32
7155,49,32
7160,49,32
7165,49,32
7170,48,32
7175,48,32
7180,48,32
7185,48,32
7190,48,32
7195,48,32
7200,48,32
7205,48,32
7210,48,32
7215,48,32
7220,48,32
7225,48,32
7230,47,32
7235,47,32
7240,47,32
7245,47,32
7250,47,32
7255,47,32
7260,47,32
7265,47,32
7270,47,32
7275,47,32
7280,47,32
7285,47,32
7290,46,32
7295,46,32
7300,46,32
7305,46,32
7310,46,32
7315,46,32
7320,46,32
7325,46,32
7330,46,32
7335,46,32
7340,46,31
7345,46,32
7350,46,31
7355,46,32
7360,45,32
7365,45,32
7370,45,32
7375,45,31
7380,45,32
7385,45,32
7390,45,32
7395,45,31
7400,45,31
7405,45,31
7410,45,31
7415,45,31
7420,45,31
7425,44,31
7430,44,31
7435,44,31
7440,44,31
7445,44,31
7450,44,31
7455,44,31
7460,44,31
7465,44,31
7470,44,31
7475,44,31
7480,44,31
7485,44,31
7490,44,31
7495,44,31
7500,44,31
7505,44,31
7510,44,31
7515,44,31
7520,44,31
7525,44,31
7530,44,31
7535,44,31
7540,44,31
7545,44,31
7550,44,31
7555,44,31
7560,45,31
7565,45,31
7570,45,31
7575,45,31
7580,45,31
7585,45,31
7590,45,31
7595,45,31
7600,45,31
7605,45,31
7610,45,31
7615,45,31
7620,45,31
7625,45,31
7630,45,31
7635,45,31
7640,45,31
7645,45,31
7650,45,31
7655,45,31
7660,45,31
7665,45,31
7670,45,31
7675,45,31
7680,44,31
7685,44,31
7690,44,31
7695,44,31
7700,44,31
7705,44,31
7710,44,31
7715,44,31
7720,44,31
7725,44,31
7730,44,31
7735,44,30
7740,44,30
7745,44,30
7750,44,30
7755,44,30
7760,44,30
7765,44,30
7770,44,30
7775,44,30
7780,44,30
7785,44,30
7790,44,30
7795,44,30
7800,44,30
7805,44,30
7810,44,30
7815,44,30
7820,44,30
7825,44,30
7830,44,30
7835,44,30
7840,44,30
7845,44,30
7850,44,30
7855,44,30
7860,43,30
7865,43,30
7870,43,30
7875,43,30
7880,43,30
7885,43,30
7890,43,30
7895,43,30
7900,43,30
7905,43,30
7910,43,30
7915,43,30
7920,43,30
7925,43,30
7930,44,30
7935,44,30
7940,44,30
7945,44,30
7950,44,30
7955,44,30
7960,45,30
7965,45,30
7970,45,30
7975,45,30
7980,46,30
7985,46,30
7990,46,30
7995,47,30
8000,47,30
8005,47,30
8010,47,30
8015,47,30
8020,47,30
8025,47,30
8030,47,30
8035,47,30
8040,47,30
8045,47,30
8050,47,30
8055,48,30
8060,48,30
8065,48,30
8070,48,30
8075,48,30
8080,48,30
8085,49,30
8090,49,30
8095,49,30
